issuer,sector,short_name,isin,currency,volume_circulation,min_lot,status,issue_date,maturity_date,price,accumulated_coupon,denomination,сoupon,сoupon_once_year,сoupon_type,instrument_type,amort,subord,guarant,high_yield,available_iis,hold_benefit
"АО ""ХК ""МЕТАЛЛОИНВЕСТ""",корпоративные,МЕТАЛИН1P6 / ХК МЕТАЛЛОИНВЕСТ оббП06,RU000A1079S6,RUB,15.00 RUB,1000,В обращении,28.11.2023,23.11.2027,94.72 / 94.61 / 94.72,10.34,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""РусГидро""",корпоративные,РусГидрБП9 / РусГидро оббП09,RU000A105SL2,RUB,35.00 RUB,1000,В обращении,01.02.2023,28.01.2026,87.47 / 87.31 / 87.48,34.78,1000,45.87 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"АО ""Экспобанк""",корпоративные,Экспо1П02 / Экспобанк оббП02,RU000A109QN4,RUB,5.00 RUB,1000,В обращении,04.10.2024,10.09.2029,93.59 / 93.48 / 93.59,8.45,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""ВСК""",корпоративные,ВСК 1P-03R / ВСК оббП03,RU000A105KR6,RUB,15.00 RUB,1000,В обращении,06.12.2022,30.11.2027,71.72 / 71.55 / 71.72,4.01,1000,56.10 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""ДФФ""",корпоративные,ДФФ ЗО28 / ДФФ об01,RU000A108Y11,USD,0.35 USD,1000,В обращении,15.08.2024,08.02.2028,63.7311 / 62.5312 / 65.9836,1977.13,1000,26.75 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""ЭНЕРГОНИКА""",корпоративные,ЭНИКА 1Р04 / ЭНЕРГОНИКА оббП04,RU000A106R79,RUB,0.27 RUB,900,В обращении,17.08.2023,10.08.2028,72.95 / 72.7 / 73,12.62,900,35.90 RUB,4,фиксированный,Облигация,да,нет,нет,нет,да,да
"ООО ""Пионер-Лизинг""",корпоративные,ПионЛизБП4 / Пионер-Лизинг оббП04,RU000A102LF6,RUB,0.35 RUB,1000,В обращении,25.12.2020,13.12.2030,97.49 / 97.3 / 97.49,57.21,1000,59.84 RUB,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
Минфин России,государственные,ОФЗ 29026 / ОФЗ-ПК026,RU000A10A7D2,RUB,1000.00 RUB,1000,В обращении,05.12.2024,06.09.2038,98.999 / 98.991 / 98.999,6.88,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""ЭнергоТехСервис""",корпоративные,ЭТС 1Р05 / Энерготехсервис оббП05,RU000A107D74,RUB,0.96 RUB,958,В обращении,13.12.2023,02.12.2025,93.74 / 93.76 / 93.78,3.84,958,12.80 RUB,12,фиксированный,Облигация,да,нет,нет,нет,да,да
"АО ""Уральская Сталь""",корпоративные,УралСт1Р01 / Уральская Сталь оббП01,RU000A105Q63,RUB,10.00 RUB,1000,В обращении,29.12.2022,25.12.2025,83.75 / 83.51 / 83.75,50.89,1000,53.85 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Россети""",корпоративные,Россети1Р7 / ФСК Россети оббП07,RU000A105PH6,RUB,30.00 RUB,1000,В обращении,27.12.2022,08.12.2037,93.04 / 92.8 / 93.03,20.01,1000,21.94 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""А101""",корпоративные,А101 1P01 / А101 обб1П01,RU000A108KU4,RUB,0.50 RUB,1000,В обращении,31.05.2024,17.05.2027,88 / 87.64 / 88.05,8.85,1000,13.97 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""АНТЕРРА""",корпоративные,ANTERRA-02 / Антерра обб01,RU000A108FS8,RUB,0.25 RUB,1000,В обращении,21.05.2024,18.05.2027,77.11 / 77.1 / 77.11,14.79,1000,49.86 RUB,4,фиксированный,Облигация,NAN,нет,нет,да,да,да
"ПАО ""Ростелеком""",корпоративные,Ростел2P9R / Ростелеком обб2П09,RU000A1051E5,RUB,15.00 RUB,1000,В обращении,04.08.2022,29.01.2026,85.62 / 85.44 / 85.65,32.84,1000,43.63 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""ГМК ""Норильский никель""",корпоративные,НорНик Б10 / ГМК Норильский никель обб10,RU000A109TW9,RUB,100.00 RUB,1000,В обращении,22.10.2024,26.09.2029,98.23 / 98.2 / 98.23,15.14,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Омега""",корпоративные,Омега01 / Омега обб01,RU000A1092T7,RUB,0.60 RUB,1000,В обращении,24.07.2024,13.01.2028,88.92 / 88.34 / 88.92,17.12,1000,20.55 RUB,12,плавающий,Облигация,да,нет,нет,нет,да,да
"АО ""Почта России""",корпоративные,ПочтаР2P01 / Почта России обб2П01,RU000A104V75,RUB,10.00 RUB,1000,В обращении,08.06.2022,26.05.2032,74.6 / 74.5 / 74.59,3.75,1000,56.84 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Банк ГПБ (АО),корпоративные,ГПБ001P18P / ГПБ оббП17,RU000A102DB2,RUB,20.00 RUB,1000,В обращении,20.11.2020,20.11.2030,100 / 99.99 / 100,16.38,1000,114.05 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""АФ""",корпоративные,AGROFRGT01 / АФ обб01,RU000A108FG3,RUB,0.20 RUB,1000,В обращении,16.05.2024,13.05.2027,80.45 / 80.58 / 80.87,19.73,1000,56.10 RUB,4,фиксированный,Облигация,да,нет,нет,нет,да,да
"АО ""БИЗНЕС АЛЬЯНС""",корпоративные,АЛЬЯНС 1P3 / БИЗНЕС АЛЬЯНС оббП03,RU000A107QL2,RUB,0.39 RUB,1000,В обращении,05.02.2024,20.01.2027,84.71 / 84.72 / 84.82,10.27,1000,20.55 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
